N,channel_sync,rho,seed,device,device_index,trace_sha256,p_bg,p_gb,device_index_entropy,pi_bad_observed,lag1_autocorr,lag1_autocorr_theory,rate_jitter_sigma_log,rate_jitter_p10,rate_jitter_p50,rate_jitter_p90,resample_attempt
8,common,0.75,1702,device_5,5,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
8,common,0.75,1702,device_6,6,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
8,common,0.75,1702,device_7,7,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
8,common,0.75,1703,device_0,0,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
8,common,0.75,1703,device_1,1,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
8,common,0.75,1703,device_2,2,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
8,common,0.75,1703,device_3,3,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
8,common,0.75,1703,device_4,4,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
8,common,0.75,1703,device_5,5,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
8,common,0.75,1703,device_6,6,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
8,common,0.75,1703,device_7,7,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
8,common,0.975,1701,device_0,0,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
8,common,0.975,1701,device_1,1,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
8,common,0.975,1701,device_2,2,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
8,common,0.975,1701,device_3,3,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
8,common,0.975,1701,device_4,4,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
8,common,0.975,1701,device_5,5,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
8,common,0.975,1701,device_6,6,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
8,common,0.975,1701,device_7,7,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
8,common,0.975,1702,device_0,0,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
8,common,0.975,1702,device_1,1,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
8,common,0.975,1702,device_2,2,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
8,common,0.975,1702,device_3,3,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
8,common,0.975,1702,device_4,4,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
8,common,0.975,1702,device_5,5,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
8,common,0.975,1702,device_6,6,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
8,common,0.975,1702,device_7,7,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
8,common,0.975,1703,device_0,0,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
8,common,0.975,1703,device_1,1,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
8,common,0.975,1703,device_2,2,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
8,common,0.975,1703,device_3,3,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
8,common,0.975,1703,device_4,4,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
8,common,0.975,1703,device_5,5,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
8,common,0.975,1703,device_6,6,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
8,common,0.975,1703,device_7,7,3278c988f861c97f3a39e3d7345a10c797cb8910b5d0358cbf548c1216230b3d,0.020000000000000018,0.0050000000000000044,0,0.1925,0.9761966099295798,0.975,0.25,0.7299294000200234,0.9992650054247971,1.3740334554489204,1
